SUMMARY
Performance of the best performing model for different configurations:



With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 3% with Winkler score of 405159.0930580179, with accuracy 0.7023084025854109.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 381801.41698809795, with accuracy 0.720960295475531.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 3% with Winkler score of 399349.7301809526, with accuracy 0.6954755309325946.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 403973.1949448838, with accuracy 0.7800554016620499.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 378346.4498313127, with accuracy 0.7246537396121884.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 401507.2122766727, with accuracy 0.7765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 407563.03115542984, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 385886.067251229, with accuracy 0.7141274238227147.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 3% with Winkler score of 399480.35543085187, with accuracy 0.6982456140350877.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 405548.027475412, with accuracy 0.7807940904893813.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 380475.3610561746, with accuracy 0.7218836565096953.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 399181.68350764783, with accuracy 0.782825484764543.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 403532.8889735237, with accuracy 0.778393351800554.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 378346.4498313127, with accuracy 0.7246537396121884.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 401507.2122766727, with accuracy 0.7765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 407563.03115542984, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 383780.85590299603, with accuracy 0.7069252077562327.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 400507.47267819435, with accuracy 0.7793167128347184.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 406484.5547170574, with accuracy 0.7743305632502309.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 380212.55520131433, with accuracy 0.7126500461680517.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 399203.141536452, with accuracy 0.7782086795937212.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 405248.910997287, with accuracy 0.7713758079409049.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 377636.9633195073, with accuracy 0.7200369344413666.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 401136.0048986707, with accuracy 0.7667590027700831.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 408848.7140847421, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 336538.0026728125, with accuracy 0.7486611265004617.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 11% with Winkler score of 335485.34474838775, with accuracy 0.7586334256694367.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 11% with Winkler score of 339829.80797017, with accuracy 0.7595567867036012.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 332173.0319742947, with accuracy 0.7867036011080333.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 342672.4330307858, with accuracy 0.7532779316712834.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 348152.67439966864, with accuracy 0.7872576177285319.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338509.39866616204, with accuracy 0.7802400738688827.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 359139.19528435514, with accuracy 0.7394275161588181.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 364319.5033932288, with accuracy 0.775438596491228.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 334707.43717517814, with accuracy 0.7819021237303786.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 337945.0903480792, with accuracy 0.7734072022160665.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 343581.4151221689, with accuracy 0.7706371191135734.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 332588.07448400214, with accuracy 0.7787626962142198.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 345925.01355164783, with accuracy 0.7497691597414589.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 349137.8122006601, with accuracy 0.78134810710988.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338509.39866616204, with accuracy 0.7802400738688827.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 359139.19528435514, with accuracy 0.7394275161588181.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 364319.5033932288, with accuracy 0.775438596491228.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 335587.111096867, with accuracy 0.7905817174515235.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 344694.76973312255, with accuracy 0.7774699907663897.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 349211.73095374164, with accuracy 0.7745152354570637.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 336985.78467642737, with accuracy 0.7850415512465374.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 349693.86418690695, with accuracy 0.7610341643582641.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 357464.2742994055, with accuracy 0.7521698984302863.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 341405.9198788992, with accuracy 0.7687903970452447.

With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 5% with Winkler score of 358555.0879163806, with accuracy 0.7817174515235457.

