Geo Point,ICC,city name,NAMA1,NLN1,latitude,longitude,zipCode,province,zipcode_first_digit
"50.48941849999983, 5.855257499999794",BE,Spa,Spa,FRE,50.48941849999983,5.855257499999794,4900,Luik,4
"51.11115349999983, 4.339097499999809",BE,Niel,Niel,DUT,51.11115349999983,4.339097499999809,2845,Antwerpen,2
"50.406761999999844, 4.9484939999997835",BE,Sart-Bernard,Sart-Bernard,FRE,50.406761999999844,4.9484939999997835,5330,Namen,5
"51.31045799999984, 3.135993499999785",BE,Blankenberge,Blankenberge,DUT,51.31045799999984,3.135993499999785,8370,West-Vlaanderen,8
"50.72573149999985, 4.625346499999807",BE,Basse-Wavre,Basse-Wavre,FRE,50.72573149999985,4.625346499999807,0,,0
"50.505993499999846, 4.384240999999804",BE,Luttre,Luttre,FRE,50.505993499999846,4.384240999999804,6238,Henegouwen,6
"50.386318499999845, 5.879402499999799",BE,Coo,Coo,FRE,50.386318499999845,5.879402499999799,0,,0
"50.434780999999845, 4.291164999999808",BE,Pieton,Pieton,FRE,50.434780999999845,4.291164999999808,0,,0
"50.73353999999983, 4.240870499999801",BE,Halle,Halle,DUT,50.73353999999983,4.240870499999801,1500,Vlaams-Brabant,1
"50.73353999999983, 4.240870499999801",BE,Halle,Halle,DUT,50.73353999999983,4.240870499999801,2980,Antwerpen,2
"50.80292599999984, 4.394639999999782",BE,Boondaal,Boondaal,DUT,50.80292599999984,4.394639999999782,0,,0
"50.93019549999985, 5.327472499999799",BE,Hasselt,Hasselt,DUT,50.93019549999985,5.327472499999799,3500,Limburg,3
"50.744316999999846, 3.965250999999796",BE,Galmaarden,Galmaarden,DUT,50.744316999999846,3.965250999999796,1570,Vlaams-Brabant,1
"50.223854499999845, 5.301560499999795",BE,Aye,Aye,FRE,50.223854499999845,5.301560499999795,6900,Luxemburg,6
"50.58749049999983, 3.872607499999787",BE,Combron-Casteau,Combron-Casteau,FRE,50.58749049999983,3.872607499999787,0,,0
"51.07918599999985, 2.653727999999802",BE,Koksijde,Koksijde,DUT,51.07918599999985,2.653727999999802,8670,West-Vlaanderen,8
"51.03392899999983, 4.490446499999791",BE,Mechelen-Nekkerspoel,Mechelen-Nekkerspoel,DUT,51.03392899999983,4.490446499999791,0,,0
"50.91931249999985, 4.055519499999804",BE,Erembodegem,Erembodegem,DUT,50.91931249999985,4.055519499999804,9320,Oost-Vlaanderen,9
"51.25408649999983, 4.423364999999791",BE,Luchtbal,Luchtbal,DUT,51.25408649999983,4.423364999999791,0,,0
"50.76209699999984, 4.655191499999802",BE,Florival,Florival,FRE,50.76209699999984,4.655191499999802,0,,0
