name,lon,lat
Unnamed,4.6494236,50.9456606
Le Pachis,5.6635362,49.8513946
Noormannenpark,4.6889122,50.8847357
Unnamed,4.4132194,50.8152078
Unnamed,4.4209477,50.8156544
Unnamed,4.4254936,50.8180304
Terrain d'aventure,4.4270325,50.8205756
Parc du Bergoje - Bergojepark,4.4306216,50.8140553
Rouge Cloître - Rood Klooster,4.446088,50.8122163
Parc Parmentier - Parmentierpark,4.4382333,50.8296523
Parc Georges Henri - Georges Henripark,4.4202615,50.8456839
Val d'Or - Gulledelle,4.4305862,50.8527911
Parc Tenbosch - Tenboschpark,4.3647938,50.8199824
Jardin du Roi - Koningstuin,4.3716795,50.8215818
Parc Brugmann - Brugmannpark,4.3507874,50.8093652
Parc Tercoigne - Tercoignepark,4.4034016,50.8133873
Parc Jupiter - Jupiterpark,4.3359044,50.8188552
Unnamed,4.3828882,50.8283202
Parc Félix Hap - Félix Haptuin,4.3860697,50.8344427
Jan van Ruusbroecpark,4.4722441,50.7659436
Veltwijckpark,4.4247347,51.2770985
Unnamed,4.5683087,51.1416971
Altena,4.4505143,51.1389609
Squarepark,4.4215498,51.2577091
Liedermeerspark,3.7454337,51.0149076
Schensbos,4.4002542,51.1066269
Arboretum Kalmthout,4.4630903,51.3931403
Max Wildiersplein,4.5766763,51.292564
Square Georges Marlow - Georges Marlowsquare,4.3401884,50.801484
Square des Héros - Heldensquare,4.3420705,50.8033808
Unnamed,5.386722,51.1488585
Parc des Sources - Ter Bronnenpark,4.436557,50.8351978
Parc Hof ter Musschen - Hof ter Musschenpark,4.4455173,50.8527329
Parc des Étangs Mellaerts - Park van de Mellaertsvijvers,4.4344425,50.8274245
Parc Seny - Senypark,4.4287295,50.8094217
Parc Ten Reuken - Ten Reukenpark,4.4297089,50.8055528
Parc de la Royale Belge - Royale Belgepark,4.4272006,50.8026656
Parc Jagersveld - Jagersveldpark,4.4159293,50.7961418
Étangs de Watermael-Boitsfort - Vijvers van Watermaal-Bosvoorde,4.4157152,50.7912257
Étangs du Leybeek - Leybeekvijvers,4.4208115,50.7998954
Parc de Roodebeek - Roodebeekpark,4.424326,50.8504065
Parc Faider - Faiderpark,4.3610223,50.8268353
Parc Montjoie - Montjoiepark,4.3594905,50.8102992
Parc de la caserne Dailly - Park van de Dailly-Kazerne,4.3886817,50.8515901
Parc du Bempt - Bemptpark,4.311571,50.8025054
Waggelwaterpark,3.1946682,51.2168719
Parc Paul Garcet - Paul Garcetpark,4.3285171,50.8794237
Willem De Beer park,3.7265895,51.0602746
Rommelwaterpark,3.7399387,51.0513541
Baudelohof,3.7301494,51.0584657
Cortewalle,4.2655426,51.2133412
Zondernaampark,3.7351725,51.0593055
Square Baron Seutin,4.3343687,50.5996442
Blaarmeersen,3.6859151,51.0456952
Parc d'Epinal,4.6939502,50.559577
Parc René Pechère - René Pechèrepark,4.4255566,50.8430409
Unnamed,4.4264734,50.8437799
Unnamed,4.3556526,50.8450756
Unnamed,4.4067752,50.8318587
Unnamed,4.3508216,50.9785178
Unnamed,3.7572868,51.0267226
Unnamed,5.4450725,51.2004409
Parc de la Source,4.6124223,50.6722588
Dries,4.2185015,51.0274261
Parc de la Jeunesse - Jeugdpark,4.3333211,50.8821356
De Averegten,4.7170622,51.0918329
Unnamed,4.4702408,50.8583666
Parc Jourdain - Park Jourdain,4.4700643,50.8628645
Parc de la Porte de Ninove - Ninoofsepoortpark,4.3353194,50.849029
Parc des Muses - Muzenpark,4.31694,50.8548551
Jardin Victor de Laveleye - Victor de Laveleye Tuin,4.3457041,50.8259307
Unnamed,3.8068823,51.2055516
Paul de Smet de Naeyerpark,3.7169336,51.0321295
Jean-Baptiste Mouroitplein,3.602692,50.7488728
Unnamed,3.5778456,51.1831863
Unnamed,3.580253,51.1925027
Square du Centenaire - Eeuwfeestsquare,4.3183551,50.8759653
Gemeentepark,4.5994142,51.3923645
Gemeentelijk Park Boom,4.3758238,51.1005019
Strijboshof,4.4829659,51.3962908
Joseph Stübbenpark,3.2604838,51.3440588
Park Callebeek - Ter Locht,4.3349029,51.1427508
Fort 8,4.3484322,51.1652006
Unnamed,3.797737,51.1918826
Unnamed,3.7942475,51.1916994
Unnamed,4.3388687,51.1095167
Sint-Hubertusplein,4.3278022,51.110342
Beerzelberg,4.6723492,51.061332
Unnamed,3.0010931,51.2564525
Unnamed,4.202337,50.692899
Spaans Kwartier,4.6952489,50.8716041
Unnamed,4.6977039,50.872767
Unnamed,4.6972062,50.8727558
Dijlepark,4.6969277,50.8737894
Park 's Heerenbeemden,4.4233194,51.0748327
Gemeentelijk Park Terhagen,4.3949947,51.0790593
Koningin Astridpark,3.2313762,51.2060489
Unnamed,4.3870168,50.8573383
Park Sorghvliedt,4.3526896,51.1693037
Square Prévost-Delaunay - Prévost-Delaunay Square,4.3899044,50.8592654
Unnamed,3.7755675,51.0661869
Admiraalpark,3.7736597,51.0586225
Azaleapark,3.7503462,51.0606348
Place de Jamblinne de Meux - de Jamblinne de Meuxplein,4.3945048,50.8473095
Unnamed,4.3486658,51.176645
Broydenborg,4.3524306,51.1724699
Unnamed,4.3631537,50.8220874
Vredeplein,4.7215806,50.8883377
Parc communal Jules Descampe,4.3984522,50.7132148
Pliniuspark,5.448259,50.7870262
Unnamed,4.347873,51.1392648
Fluweelpark,3.6905216,51.0682195
warandepark,3.8052696,51.1992792
Feldheim Park,4.466299,50.8872111
Parkdomein Hof Ter Zielbeek,4.3407347,51.0794209
Ten Hove,4.6924865,50.8729215
Parc Louise Marie,4.8563872,50.4665413
Unnamed,4.1471696,50.6078301
Central Park,4.4667135,50.8484942
Pastoor Van Haeckeplantsoen,3.2166172,51.2137963
Parkdomein Hof Ter Zielbeek,4.338652,51.0761545
Ancienne sablière du Marouset,4.182634,50.6123497
Square Palfyn - Palfynsquare,4.3300102,50.8935637
Unnamed,4.4404627,50.9082089
Unnamed,4.4426934,50.9092705
Hanssenspark,4.429151,50.924234
Werfplein,3.2183688,51.2186821
Unnamed,4.3562937,50.858206
Papenhof,4.49712,51.035804
Square Groupe G,4.38271,50.8122352
Unnamed,4.1912769,50.5975393
Unnamed,4.1331992,50.6116708
Provinciedomein Huizingen,4.2861762,50.7430097
Unnamed,4.3893848,51.2220301
Tivolipark,4.4726454,51.0470275
L'Orangerie,4.6133765,50.7217769
Park Alte Kirche,6.026918,50.7097418
Unnamed,4.4369946,50.8113499
Unnamed,4.3718709,50.8166884
Jardin de la Vallée du Maelbeek - Maalbeekdaltuin,4.3786208,50.84397
Unnamed,4.3949124,50.8669737
Square Gutenberg - Gutenbergsquare,4.3775028,50.8480057
Parc du Roi Vainqueur - Koning Overwinnaarspark,4.3984897,50.8325955
Parc ING - ING Park,4.4004069,50.8349827
Parc du Forum - Forumpark,4.3551117,50.8990399
Unnamed,4.3829301,50.8760926
Square François Riga - François Rigasquare,4.3856275,50.8746136
Unnamed,4.3336542,50.8662333
Jardin des Franciscaines - Franciscanessenhof,4.4205596,50.8360654
Jardin de Sculptures - Beeldhouwtuin,4.357202,50.8414436
Quai au Foin - Hooikaai,4.3492885,50.8555417
Unnamed,4.427632,50.8485546
Unnamed,4.3240183,50.5979908
Unnamed,4.3619741,50.8521207
Unnamed,4.3501022,50.8533248
Parc Juliette Herman - Juliette Hermanpark,4.3919885,50.8466571
Unnamed,4.3374491,50.8641478
Kielpark,4.3840744,51.1921819
Parc Bonnevie - Bonneviepark,4.3371321,50.8561308
Parc Marie de Villegas de Saint Pierre - Marie de Villegas de Saint Pierrepark,4.3332627,50.8794971
Unnamed,4.3629395,50.8183092
Parc du Karreveld - Karreveldpark,4.315039,50.8604416
Unnamed,4.3664576,50.8496507
Unnamed,4.3776281,50.8696811
Unnamed,4.3791493,50.8684553
Unnamed,4.3797401,50.8673712
Unnamed,4.3804284,50.8658897
Parc d'Evere - Park van Evere,4.407782,50.8706129
Unnamed,4.3130761,50.8465
Parc Marconi - Marconipark,4.3414477,50.8176394
Unnamed,4.3340764,50.8035308
Parc Rasquinet - Rasquinetpark,4.3737706,50.8594222
Parc Saint-Rémy - Sint–Remiplein,4.3393946,50.8625806
Square Albert Ier - Albert I-square,4.3236808,50.8393598
Unnamed,4.4621365,50.8439053
Square Henri Frick - Henri Fricksquare,4.3689501,50.8516524
Parc Meudon - Meudonpark,4.3929984,50.8932353
Parc Keith Haring - Keith Haringpark,4.3861798,50.8362259
Parc de la Cité Jouët-Rey - Cité Jouët-Rey park,4.3937547,50.8320048
Jardin Joe Heyne - Joe Heynetuin,4.3806366,50.8368821
Heymbos,4.3262911,50.8870875
Unnamed,4.4312558,51.2517474
Jardins de Fontenay-Sous-Bois - Tuinen van Fontenay-Sous-Bois,4.3931937,50.8295949
Karmelietentuin,4.4726706,51.0253681
Square Émile Duployé - Émile Duployésquare,4.3790563,50.858795
Unnamed,4.2512145,50.560435
Unnamed,4.3989428,50.8405338
Unnamed,4.3580828,50.8616387
Unnamed,4.3572578,50.8600873
Unnamed,4.3587432,50.8629296
Unnamed,4.3588085,50.8727706
Unnamed,4.3608363,50.8729985
Unnamed,4.3648175,50.8708597
Unnamed,4.3643081,50.8708639
Unnamed,4.2435989,50.5650139
Parc du cheneau,4.3795949,50.6764131
Parc Bourdon,4.3808437,50.6921824
Unnamed,4.3102228,50.8769176
Unnamed,4.3233023,50.8371027
Unnamed,4.3915857,50.8363136
Unnamed,4.3203442,50.8118853
Jardin Jean Glineur - Jean Glineurtuin,4.38953,50.8267283
Jardin Delhaize - Tuin Delhaize,4.3874169,50.8285592
Square Prince Léopold - Prins Leopoldsquare,4.3410494,50.8836527
Parc Josaphat - Josaphatpark,4.3865764,50.8640669
Unnamed,4.3444542,50.8716211
Kantvelde,4.4671044,51.0398686
Unnamed,4.3396078,50.8039183
Unnamed,4.5156351,50.9023589
Leonardo Da Vincipark,4.4606416,50.8897496
Parc du Viaduc - Viaductpark,4.3744462,50.8344821
Unnamed,4.1912671,50.4798383
Park Mariadal,4.4759847,50.8798234
WO Warandeberg,4.487325,50.8542269
Stadspark,5.1062477,50.8333659
Parc d'Enghien - Park van Edingen,4.0433476,50.6864244
Parc Crickx - Crickxpark,4.3203267,50.8362989
Square Émile Vandervelde - Émile Vanderveldesquare,4.3185962,50.8369687
Parc de Biestebroeck - Biestebroeckpark,4.3117594,50.8342709
Parc Scherdemael - Scherdemaelpark,4.2865162,50.8313275
Domaine régional Solvay,4.4567586,50.7364346
Unnamed,4.3537688,50.8858646
Parc du Sippelberg - Sippelbergpark,4.3142048,50.8703742
Unnamed,3.9460969,50.4538069
Gemeentepark Heuvelhof,4.4964505,51.1646806
Place Jules Messinne - Jules Messinneplein,4.4196309,50.809456
Unnamed,4.4206872,50.8078941
Unnamed,4.4224709,50.8064361
Unnamed,4.3922344,51.191687
Unnamed,4.389971,51.1919886
Gemeentepark,4.4448733,51.1360082
Boesdaal,4.3582028,50.7542464
Parc Tournay-Solvay - Tournay-Solvaypark,4.4109717,50.7927509
