name,lon,lat
Wonderwijs,4.8426928,51.1744468
Institut Saint-Jean-Baptiste,4.6122098,50.4329802
Collège Notre-Dame de Bonne-Espérance,4.1441335,50.3862927
Sint-Godelievecollege,2.9705568,51.1568618
École Fondamentale Notre Dame,3.8440645,50.4215791
Muziek academie,3.6035685,50.7459984
Sint Maarten Instituut - campus Sint Anna,4.0237188,50.9406383
VBS Heilig Hart (KOV),4.4127533,50.9244687
VBS Heilig Hart (KOV),4.4127184,50.9244704
Gemeentelijk Technisch Instituut (GTI),4.4982754,51.0952041
Basisschool Zeveren,3.5039873,50.997231
Rozenberg L.O. en S.O.,5.1211106,51.1878346
Gemeentelijke Basisschool Het Kompas,4.3638838,51.1837495
Gemeenteschool,3.0775158,50.9792298
Vrije Basisschool,3.0804662,50.978784
École Fondamentale Libre Notre-Dame,4.49059,50.7301846
École Communale de Plancenoit,4.4279085,50.6608536
De leertrommel kleuters,4.1820527,50.9684348
Unnamed,4.1835494,50.9703299
De leertrommel Lager onderwijs,4.1824282,50.9689213
KTA GITBO,4.6346292,51.0042671
Vrije Basisschool Sint Michiel - Lagere School,4.6333364,51.0056426
Gemeentelijke Basisschool,4.6345246,51.0050148
Sint Michielsinstituut,4.6334061,51.0041152
Vrije Basisschool Sint Michiel - Kleuterafdeling,4.6338272,51.0051144
Unnamed,2.685909,51.1167723
Unnamed,2.6839108,51.1172252
Vrije Basisschool De Ark,2.6456671,51.1062223
Sint-Jan Berchmanscollege,3.4481077,50.7763781
École Libre d'Anseroeul,3.5209635,50.7277879
"École Fondamentale de Falisolle ""Ecole de la Vie""",4.6194013,50.4203787
École Saint-Maur,3.2320374,50.7251436
École communale de Montroeul-au-bois,3.568339,50.6506108
Unnamed,4.1531673,50.8748587
Collège Saint-Guibert,4.6915515,50.5607358
VTI Deeltijds onderwijs,3.1958496,51.2145359
CVO Semper,4.4212835,50.9287799
Unnamed,3.288411,51.3402865
Basisschool GO Arnoldus,2.9997986,51.1839027
École communale,5.5835665,50.5662044
Sint-Katarina,4.5310568,51.0691763
De Pepel,4.3547758,51.0129789
ISF Tervuren International School,4.5599684,50.8360523
Unnamed,5.404958,50.3751629
Baronneke,4.468368,51.2260867
't Kersenpitje,3.6021404,51.1528403
De Lieve,3.6018689,51.1526106
VBS De Kleurenboog,3.9827146,51.0414925
Gemeenteschool,4.0410814,51.0702529
GO!Basisschool De Kleine Schuit,3.9563384,51.0181209
"Academie voor muziek, woord en dans",4.0050672,50.902296
Unnamed,3.6632545,50.9405435
École Communale Mixte Nr. 2 Emeraude,4.3432657,50.8635522
GO! Bassischool Erasmus,3.5336254,50.9755055
Mater Salvatoris Instituut,4.429389,51.316421
Unnamed,4.4320568,51.3164558
Leonardo Lyceum Pierenberg,4.3815476,51.1887656
École Communale Primaire de Luttre,4.3903575,50.5093524
Unnamed,4.3278005,50.9357333
Unnamed,5.2929838,50.0175002
Gemeentelijk Technisch Instituut Londerzeel (GTIL),4.3088684,51.0037367
Centre Scolaire Eddy Merckx,4.4560218,50.8270122
Unnamed,5.5891251,51.0883447
Duizendpoot(jes),4.0517175,50.9469239
Sint-Jozef Instituut,3.8911104,51.0081628
Kleuterschool Sint-Jozef,3.8903001,51.0080175
Basisschool Sint-Jozef,3.8904933,51.0083145
SMO,4.5232334,50.7773798
Gemeentelijke Basisschool Overijse,4.5328046,50.7717587
Sint-Martinuscollege,4.5426269,50.7714537
Les Audacieux,3.8401094,50.7074785
Unnamed,4.6581292,51.1171833
Centrumschool,4.3005117,51.0066358
Athénée Royal de Nivelles,4.3344808,50.5935507
Unnamed,4.5062946,51.1008289
École Maternelle de Tangissart,4.5373695,50.6110414
École Primaire de Tangissart,4.5318066,50.607215
Unnamed,3.713929,50.6007776
Leiepoort Campus Sint-Vincentius,3.526587,50.9874538
KADE Podiumkunsten,3.5312794,50.983669
École industrielle et commerciale,4.8673107,50.4646669
École Communale de Cheratte Hauteur,5.6816646,50.6832346
MAI,4.1860238,50.9706989
Unnamed,4.1823277,50.9677903
Mozaïk,4.1852728,50.9702699
Athénée Royal Montegnée,5.5215603,50.6438666
Unnamed,4.2056675,50.6410881
École Normale Fernand Hotyat,4.2481148,50.4615923
Athénée provincial,4.2496408,50.4615223
MPI Zonneken,4.1817268,51.1762415
Unnamed,4.8442606,50.4631237
Unnamed,2.6263333,50.9178221
IVIO Salvator,3.7685846,51.0932951
De Driesprong,3.3548272,50.8508734
École Primaire Notre-Dame,4.3641638,50.5107762
Institut Cardijn-Lorraine Differt,5.8083611,49.6128454
École Vivant Obaix,4.3609127,50.5264581
Institut de la Providence de Champion,4.9007581,50.4951599
Campus Den Biezerd,4.3230473,51.1126109
Unnamed,4.5673926,51.1347716
Unnamed,4.5665504,51.13495
Unnamed,4.5639025,51.1366937
Unnamed,4.4870354,51.2034529
De Met,4.5056512,51.0428218
De Notelaar,3.6031843,51.153458
Académie OVA,5.6080601,50.5928949
Centre de Méthodologie et de Pédagogie appliquée,4.3450354,50.8428444
BKO,4.5243074,50.7768817
Unnamed,5.8107,51.1552479
Veerleheem,3.9287815,50.9661944
École communale,4.9540513,50.6795806
Sint-Lievenscollege Basisschool,3.7313889,51.0531831
Kleuterschool Hoeven,5.0258855,51.2594758
Gemeentelijke Academie voor Muziek en Woord,4.3669297,51.0896417
École La Providence,5.6003917,49.6754507
Unnamed,3.6285653,50.6730269
Unnamed,4.429821,51.3155674
De Sterrebloem,3.5412346,51.0157938
Institut supérieur de Théologie du diocèse de Tournai,3.3915296,50.6036603
académie Saint-Grégoire,3.3915457,50.6033164
IESN - hénallux,4.8542998,50.4709583
ZAVO,4.4686286,50.8874955
Galileo TC,4.7177266,50.8840706
OLVC Zottegem - Campus Zottegem,3.8119477,50.8683053
Schoolke Rugge,3.4651694,50.7803038
Academie Muziek en Woord,4.3863527,51.1329448
CLL Centres de Langues (Liège),5.5713803,50.6365171
Kleuter-en lagere school De Basis,4.4995098,51.0928987
Sint-Norbertusinstituut,4.4989841,51.0922316
De Graankorrel,3.0460324,50.7794068
Unnamed,4.0943916,51.194529
Ecoline,4.5520307,50.732965
Wavo,4.5745293,51.0632758
Wavo-kleuterschool,4.5801726,51.0653997
Wavo,4.5803443,51.0609326
Gemeenteschool Qworzó,4.8604944,51.3575904
École Saint Paul,4.4054488,50.3909771
Athénée Royal René Magritte,4.5244961,50.4059844
Sacré-Cœur de Stockel,4.4669062,50.8392607
École maternelle Mater Dei,4.4613572,50.832443
École fondamentale libre du Collège Jean XXIII,4.4373785,50.8306117
Collège Jean XXIII,4.4327033,50.8356084
GBS Vossem,4.5612224,50.8359693
Steiner-school,4.4464311,51.2978703
Gemeenteschool De Linde,2.9596146,51.0169671
Gemeentelijke School Duffel-West,4.4993868,51.0956493
Landwijzer,4.4155446,51.2160667
"École Communale ""Les Galopins""",3.8641045,50.6871504
Unnamed,3.8305526,50.712438
Institut La Sainte Union Dour,3.7773722,50.3972042
Kleuterschool,4.4758554,51.1564631
Institut des Dames de Marie,4.4027297,50.8446487
École communale,4.5778651,50.3542522
Kids&Us,4.3803766,50.8354699
Basisschool Carolus Magnus,4.3944575,50.8468821
Stedelijke Academie voor Beeldende Kunsten,3.122265,50.7975194
Campus Galileo ISPG – ISSIG,4.3680595,50.8582263
Basisschool Nellie Melba,4.2934442,50.8305547
Kasterlinden School,4.2934247,50.8306187
Kasterlinden OV2,4.2904204,50.831276
Elishout Tuinbouw,4.2905116,50.8310286
De Vuurtoren,4.4378906,51.223641
Unnamed,5.788679,50.2534348
École Communale n°12 Les Sept Bonniers,4.3323958,50.80972
École Communale de Loupoigne,4.4417667,50.5937603
École Communale de Houtain-le-Val,4.4149714,50.58076
École Communale de Ways,4.4680362,50.6140385
École Communale Arthur Grumiaux,4.4102156,50.5405281
École Maternelle Les Mirabelles,4.4770169,50.5043583
École Sainte Louise de Marillac,4.3969364,50.8531661
Kosh Campus Burchtstraat,4.8363611,51.1816453
École fondamentale libre Les Tournesols,4.3102781,50.8435329
Nightingale school voor verzorging,4.3113089,50.8464869
Gemeentelijke Basisschool Scheut,4.310169,50.8469272
École communale de Thoricourt,3.9506632,50.6098007
Unnamed,4.5673471,50.6422498
Inburgering Oost-Vlaanderen,3.7204668,51.0284068
École libre Saint-Nicolas,4.4953965,50.5615619
École du Vieux Chateau,4.4730216,50.5025508
École communale André Hecq,4.3510388,50.6142987
Institut Fernand Cocq (IFC),4.361532,50.8319801
GVBS Sint-Pieter,4.3026444,50.8341063
GVBS Sint-Guido,4.3025512,50.8338935
École Fondamentale de Bornival,4.2664187,50.6038312
I.M.G. ter Speelbergen,4.6873408,51.067302
Unnamed,4.6367857,50.6088634
Unnamed,4.6456299,50.6084547
Académie de Musique,4.3383519,50.8057342
Academy Make up for ever,4.3579549,50.8441554
École communale de Feluy,4.2486766,50.5616304
't Kompas,4.4992185,51.095828
Erasmus atheneum De Pinte,3.6576992,50.9911822
"Stedelijke Academie voor Muziek, Woord en Dans",4.6620796,51.216464
Secundair Kunstinstituut,3.7281783,51.0579284
École de photographie et de techniques visuelles Agnès Varda,4.3557398,50.8722136
Académie royale des Beaux-Arts,4.3422944,50.8407224
Vrije Basisschool voor Buitengewoon Onderwijs – Spes,4.3176066,50.8465996
Ecole fondamentale Emile André,4.3505463,50.8392931
Unnamed,4.8657436,50.4426334
Athénée Royal - Section Primaires,4.3122209,50.0446949
Athénée Royal - Section Maternelles,4.3178071,50.0490847
École libre Saints Pierre et Paul,4.3167071,50.0499225
Groupe Scolaire Jehan Froissart - Implantation de Saint-Rémy,4.2940868,50.0456304
"Groupe scolaire Charlemagne - Implantation de Baileux ""Battis""",4.3717836,50.0311635
"Groupe scolaire Charlemagne - Implantation de Baileux ""Place""",4.374628,50.0301808
Groupe scolaire Charlemagne - Implantation de Baileux - rue de Rocroi,4.3748938,50.0292814
CVO Volwassenonderwijs,4.7370098,50.8835926
De Musjes,4.4281811,51.2248557
Leerexpert De Novanaut,4.4238839,51.2279767
Collège Saint-Augustin,4.4237124,50.2830535
Stedelijke Academie,4.6982518,50.8816582
"Home Academie voor Muziek en Woord de Noorderkempen, g.o.l.",4.9254731,51.4416174
Provinciaal secundaire school De Wijnpers,4.6878246,50.8862706
Centrum voor Volwassenenonderwijs De Nobel,4.6881942,50.8864498
De Evenaar,4.4242186,51.2223934
Syntra Brussel,4.3480555,50.864151
Doniniek Savio,3.1239846,50.9944316
Institut Auderghemois de Promotion sociale,4.4224502,50.8171044
Gemeentelijke basisschool,3.6294873,51.0158622
Les Prés Vers,5.4828956,49.574245
Buitengewoon Lager Onderwijs Blijdhove Menen,3.1097937,50.8028402
Blijdhove Vrije Basisschool Binnenhof Menen,3.0937621,50.7909219
École communale,5.5013105,49.6454865
Sint-Bernadette,4.4779523,51.2308077
École Communale Les Coeurs de Marie,5.457609,49.7066509
École Communale Primaire Les Tournesols,5.41438,49.68549
École Communale Maternelle,5.4141797,49.6856195
Basisschool Pee & Nel,4.7081442,50.882881
Unnamed,4.7089173,50.8817115
École Communale,4.9723781,49.8405838
Westelfolk,4.9106327,51.0917801
Muziekacademie Geel,4.9902786,51.1640291
École des 2 Rives,5.7057975,49.5573341
Van Disselhuis,4.9905487,51.1632273
Unnamed,3.7213072,50.6940485
Basisschool Pacheco,4.3618696,50.8492688
BuBaO Ten Desselaer,4.7843734,50.8541403
École primaire,4.9524071,50.000264
École fondamentale Notre-Dame,4.5510062,50.4872223
École communale (Lincent),5.0334078,50.7146059
Centre de Dépaysement et de plein Air de Saint-Hubert,5.3753575,50.0269119
CEFORM,4.288943,50.4385724
Académie des Beaux-Arts,4.6066141,50.4343446
Conservatoire Lucien Robert,4.60726,50.4344015
Le Monde des Possibles,5.5848149,50.6327752
Sint-Jan Berchmansmiddenschool,3.4460424,50.7744511
Centre interculturel de formation par l'action,4.3500338,50.8306182
