city,lat,lon
Brussels,50.85,4.349
Antwerp,51.22,4.40
Ghent ,51.05,3.717
Charleroi,50.411 , 4.444
Liège,50.634,5.567
Anderlecht,50.836 ,4.315
Schaarbeek,50.869,4.377
Bruges ,51.209 ,3.224
Namur,50.467,4.867
Leuven,50.88,4.701
