name,lon,lat
Kessel-Lo Paradaens,4.738696,50.8909402
Kortenberg Rijkswacht,4.5430649,50.8881459
Kortenberg Beekstraat,4.5401952,50.8838359
Everberg Steenhof,4.5665012,50.879655
Leuven Naamsepoort,4.6979418,50.8681679
Heverlee Station,4.6958178,50.8631166
Lovenjoel Bijzondereweg,4.7733812,50.8598832
Korbeek-Lo Bierbeekstraat,4.7609607,50.8629593
Korbeek-Lo Vlinderlaan,4.7481961,50.865745
Korbeek-Lo Vlinderlaan,4.7468645,50.8662079
Leuven Elisabethlaan,4.7275854,50.870272
Everberg Kerk,4.5700695,50.8779779
Bertem Rond-Punt,4.6406111,50.8625402
Bertem Rond-Punt,4.6403109,50.8625996
Heverlee Doleeg,4.6473851,50.8607275
Heverlee Doleeg,4.6479871,50.8608001
Heverlee Toverberg,4.6551866,50.8614983
Heverlee Populierenlaan,4.6661119,50.8700239
Heverlee Ter Elst,4.667561,50.8711482
Heverlee Ter Elst,4.668699,50.8717898
Heverlee Berg Tabor,4.671123,50.8737323
Heverlee Henri Geeraertlaan,4.6743934,50.8718815
Heverlee Koning Boudewijnlaan,4.6808676,50.8681733
Leuven Redingenhof,4.6914428,50.8732641
Leuven Redingenhof,4.69129,50.873264
Leuven Kleine Gevangenis,4.712701,50.8788878
Leuven Kleine Gevangenis,4.7129609,50.8792334
Merchtem Varkensmarkt,4.2345501,50.9595377
Merchtem Drypikkel,4.2429126,50.9589862
Merchtem Dooren,4.250974,50.9567546
Merchtem Dooren,4.2531886,50.9559209
Merchtem Kleistraat,4.2686208,50.9513913
Merchtem Kleistraat,4.2680119,50.9517362
Wolvertem Meuzegemstraat,4.2939225,50.9521923
Wolvertem Driesstraat,4.3020773,50.9521839
Meise Oppem Kerk,4.3056321,50.9391165
Meise Oppem-Hasselt,4.3187563,50.9434371
Meise Oppem-Hasselt,4.3206443,50.9432021
Meise Van Dievoetlaan,4.3241904,50.9409561
Meise De Donderstraat,4.3278867,50.9377205
Meise Limbos,4.3381787,50.9418302
Grimbergen Stelplaats,4.3635201,50.9355951
Grimbergen Abdij,4.37278,50.9339
Grimbergen Klont,4.3813598,50.9299476
Grimbergen Delhaize,4.3916175,50.9265539
Grimbergen Oude Schapenbaan,4.3973926,50.9255857
Vilvoorde Breemput,4.408761,50.9237749
Heldenplein,4.42518,50.9265842
Holsbeek Sint-Geertrui,4.7322385,50.9135809
Holsbeek Sint-Geertrui,4.7324731,50.9135345
Holsbeek Pleinstraat/Leuvensebaan,4.725725,50.9114586
Leuven Dalemhof,4.7375136,50.8657778
Leuven Dalemhof,4.7384233,50.8655296
Korbeek-Lo Centrum,4.7626726,50.8601583
Korbeek-Lo Pimberg,4.7625868,50.8660417
Nieuwrode Kerkebos,4.8287672,50.9447488
Sint-Pieters-Rode Horst,4.8220483,50.9326986
Kortrijk-Dutsel Brouwerij,4.797161,50.9250876
Holsbeek Smisstraat,4.7728882,50.9208907
Kessel-Lo Heidebergstraat,4.7412649,50.8861972
Kessel-Lo Heidebergstraat,4.7411366,50.8860537
Heverlee Schaatsbaan,4.715772,50.8502918
Linden Jan Davidtsstraat,4.7521766,50.8879745
Linden Wolvendreef,4.7648278,50.8891943
Linden Kortrijkstraat,4.7503619,50.8940078
Holsbeek Pleinstraat/Leuvensebaan,4.7240265,50.9107238
Holsbeek De Zicht,4.7514862,50.919604
Holsbeek Daalput,4.7426832,50.9153649
Kortrijk-Dutsel Dutsel,4.790135,50.9235393
Kessel-Lo Eenmeilaan,4.7181702,50.8915148
Korbeek-Lo Pastorijstraat,4.7684995,50.8610038
Korbeek-Lo Pastorijstraat,4.7662273,50.8616737
Senonchamps Route de Bastogne,5.6693232,50.0013367
Mechelen Kardinaal Mercierplein,4.4835215,51.0209866
Mechelen Hof Van Egmont,4.4821165,51.0221878
Mechelen Onze-Lieve-Vrouw Kerk,4.4794608,51.0232589
Mechelen Polderstraat,4.4651849,51.0300838
Mechelen Boetestraat,4.4610407,51.0313651
Mechelen Landweg,4.4548037,51.0348529
Mechelen Neerweg,4.4462465,51.0425682
Mechelen Battelse Bergen,4.4439064,51.044266
Mechelen Battelse Bergen,4.4439574,51.0440668
Assenois Route de Bastogne,5.680226,49.9662342
Mechelen Transportzone E19,4.4501799,51.038228
Mechelen Lange Akkerstraat,4.4474804,51.0407194
Mechelen Neerweg,4.4462651,51.042395
Heffen Centrum,4.415999,51.046566
Mechelen Leestsesteenweg,4.4402366,51.0398992
Bierbeek Kerk,4.7590734,50.8278895
Opvelp Gemeentehuis,4.793581,50.8096797
Bierbeek Bovenheide,4.7816234,50.8262902
Bierbeek Bovenheide,4.7814845,50.8264138
Bierbeek Langestraat,4.7883234,50.8430372
Lovenjoel Weterbeekstraat,4.7941038,50.8468349
Lovenjoel Weterbeekstraat,4.7938408,50.8465875
Lovenjoel Bruul,4.7917465,50.8485091
Lovenjoel Bruul,4.7917409,50.8486146
Korbeek-Lo Station,4.7614892,50.8551782
Korbeek-Lo Station,4.7615884,50.8551457
Leuven Kareelveld,4.6912221,50.8909555
Herent Station,4.6736364,50.9034726
Winksele Zwarte Fles,4.6313331,50.9312047
Bierbeek Varkenskwekerij,4.7761649,50.8266678
Bierbeek Weg op Neervelp,4.7627515,50.8271316
Bierbeek Weg op Neervelp,4.7627746,50.8271991
Bierbeek Café Kwakkelheide,4.7672316,50.8233032
Bierbeek Kwakkelheide,4.7714987,50.8201881
Bierbeek Kwakkelheide,4.7718364,50.820062
Bierbeek Vuilenbos,4.7765142,50.8174638
Bierbeek Vuilenbos,4.7767369,50.8172206
Opvelp Hoegaardsesteenweg,4.7827934,50.8142524
Opvelp Hoegaardsesteenweg,4.7830962,50.8142568
Opvelp Vinave Kapelleke,4.7865958,50.8134556
Opvelp Kruispunt,4.7901428,50.8122596
Opvelp Kruispunt,4.7903836,50.8120551
Opvelp Molensteen,4.80132,50.818
Neervelp Kruispunt,4.8078195,50.8208172
Neervelp Kruispunt,4.8073985,50.8207412
Veltem-Beisem Kapel,4.620441,50.9382072
Buken Madelon,4.6164287,50.9407806
Holsbeek Dutselhoek,4.7800506,50.9206695
Linden Stenenveld,4.780395,50.904231
Linden Raychem,4.7602324,50.8888132
Linden Raychem,4.7600987,50.888902
Linden Jan Davidtsstraat,4.7534786,50.8884162
Kessel-Lo Klooster,4.7471438,50.8872869
Kessel-Lo Klooster,4.7466792,50.8870229
Aarschot Nonnenhoefstraat,4.8147747,51.0074635
Aarschot Nonnenhoefstraat,4.8146489,51.0076409
Aarschot Kleine Grotstraat,4.8149571,51.0030998
Aarschot Literstraat,4.8242922,51.0040344
Aarschot Literstraat,4.8241035,51.0039991
Aarschot Bloemsehoeve,4.8288581,51.0014455
Herentals Gareelmakerstraat,4.8514566,51.1804968
Herentals Gareelmakerstraat,4.8510302,51.1803789
Herentals Markt - Grote Markt,4.8356701,51.1780408
Herentals E. Claesstraat,4.8410414,51.1730588
Hoegaarden Au Canal,4.8936409,50.7773929
Hoegaarden Nerm Schip,4.8717017,50.7718477
Hoegaarden Hoek Doelstraat,4.892226,50.7743515
Hoegaarden Klein Overlaar,4.9032033,50.7830674
Tienen Leuvenselaan,4.925567,50.8110734
Tienen Zijdelingsestraat,4.9224322,50.8121368
Tienen Zijdelingsestraat,4.9220744,50.812075
Tienen De Brouwerstraat,4.9179483,50.8135739
Tienen De Brouwerstraat,4.9169707,50.8137757
Tienen Bareelken,4.9130485,50.8150567
Tienen Bowling,4.906905,50.8171671
Kumtich Vogelzang,4.900066,50.8192805
Kumtich Vondelstraat,4.8926323,50.8211763
Kumtich Kumtichstraat,4.890566,50.8223722
Kumtich Groenhofstraat,4.8834771,50.8248497
Roosbeek Berg,4.8677424,50.8298524
Boutersem Stationsstraat,4.8421909,50.8381644
Boutersem Stationsstraat,4.83956,50.8392
Boutersem Eksterstraat,4.8280102,50.8440972
Boutersem Eksterstraat,4.8264898,50.8446368
Boutersem Jagershof,4.8208809,50.8470778
Boutersem Jagershof,4.8195417,50.8477434
Lovenjoel Zielenberg,4.801459,50.8534337
Lovenjoel Centrum,4.7820347,50.8578981
Lovenjoel Centrum,4.7799462,50.8585138
Korbeek-Lo Bierbeekstraat,4.7638216,50.8621479
Korbeek-Lo Eikenbrug,4.7524638,50.8647611
Aarschot Atheneum,4.8346895,50.9891231
Aarschot Lindekensstraat,4.8367815,51.0049059
Aarschot Lindekensstraat,4.8369607,51.0057716
Ramsel Bosstraat,4.8459718,51.0268576
Herselt Molenvloed,4.855354,51.0377542
Herselt Stoppelblokken garage,4.8607906,51.0420681
Herselt Ramselsesteenweg,4.8646726,51.0452681
Herselt Dorp,4.8823866,51.0532547
Herselt Limberg,4.8831371,51.0596734
Herselt Limberg,4.8830424,51.0593987
Zoerle-Parwijs Vlasland,4.8704089,51.0955458
Oosterwijk Busselen,4.8674509,51.1268463
Oosterwijk Basis REME,4.863554,51.1360695
Olen Dorp,4.8598079,51.1457364
Olen Kleine Landeigendom,4.8579513,51.1479941
Herentals Dikberd,4.8471388,51.1671334
Kampenhout Sas,4.593604,50.955143
Boortmeerbeek Beringstraat,4.5672579,50.9722129
Boortmeerbeek Pontstraat,4.5620579,50.9755509
Boortmeerbeek Kallebeekstraat,4.5571843,50.9786552
Hever Schoolweg,4.5452418,50.9862885
Hever Tip,4.5314021,50.9950897
Muizen Willendries,4.5249861,50.9991901
Muizen Planckendael,4.5196897,51.0025257
Muizen Lotelingstraat,4.5097526,51.0088497
Muizen Sint-Albertusstraat,4.506416,51.0109739
Mechelen Aambeeldstraat,4.4913268,51.0205787
Heverlee Paul Van Ostaijenlaan,4.7092834,50.8674073
Bierbeek Bremt Kapel,4.7924963,50.8346638
Bierbeek Middelbosstraat,4.7887622,50.8311682
Bierbeek Middelbosstraat,4.7888516,50.8310776
Leuven Korbeek-Lostraat,4.7266249,50.8688792
Wilsele Brandenstraat,4.7054431,50.9018603
Wilsele Brandenstraat,4.7053685,50.9018158
Tildonk Mortelstraat,4.6516248,50.9386751
Wespelaar Sporthal,4.6391733,50.962637
Wespelaar Sporthal,4.6390278,50.9626281
Wespelaar Station,4.6388328,50.9593901
Wespelaar Station,4.6390826,50.9575779
Wespelaar Weg naar Wakkerzeel,4.6391627,50.9563416
Wespelaar Weg naar Wakkerzeel,4.6389942,50.9565527
Wespelaar Herkenrode,4.6396118,50.9528232
Wespelaar Herkenrode,4.6398999,50.9526993
Tildonk Brug,4.6419317,50.9476434
Tildonk Sint-Angela,4.6447656,50.9441609
Tildonk Sint-Angela,4.6450255,50.9442421
Herent Oude Hoevestraat,4.6296675,50.9259485
Herent Oude Hoevestraat,4.62982,50.9259664
Mechelen Oude Brusselsestraat,4.4814615,51.0206924
Mechelen Stadsfeestzaal,4.481546,51.0301504
Mechelen Biest,4.48297,51.0313
Mechelen Kardinaal Mercierplein,4.4829155,51.0204434
Mechelen Hanswijkdries,4.4974268,51.0166842
Mechelen Alfred Nobelstraat,4.5023032,51.0135933
Muizen Sint-Albertusstraat,4.5064311,51.0108133
Muizen Lotelingstraat,4.5098977,51.0086042
Muizen Planckendael,4.5186825,51.0029827
Muizen Willendries,4.526504,50.9980275
Hever Tip,4.5320979,50.9944221
Hever Lobroeken,4.5374608,50.9910143
Hever Schoolweg,4.5444228,50.9865829
Hever Biststraat,4.5487623,50.9838304
Hever Biststraat,4.5488448,50.9839875
Hever Sint-Antoniusstraat,4.5577743,50.9896846
Boortmeerbeek Dorp,4.5707349,50.9816473
Boortmeerbeek Hollestraat,4.5840302,50.9770402
Boortmeerbeek Anderveldstraat,4.5960377,50.971496
Boortmeerbeek Paepenstraat,4.6007652,50.9681416
Boortmeerbeek Halve Steen,4.6056598,50.9649585
Haacht Jennekensstraat,4.6245025,50.9723584
Haacht Don Bosco,4.6291414,50.9746693
Haacht Wissel,4.6321402,50.9760989
Haacht Kerk,4.6379867,50.9767933
Haacht Maalderij,4.6399209,50.9743511
Haacht Broekstraat,4.63923,50.9704
Leuven Mechelsepoort,4.6918695,50.8883097
Kessel-Lo Eenmeilaan,4.7178488,50.8928778
Haacht De Wip,4.6442236,50.9743186
Haacht De Wip,4.6441866,50.974196
Keerbergen Kruishoevestraat,4.6459434,50.9934685
Keerbergen Kruishoevestraat,4.6461137,50.993472
Keerbergen Hansbrug,4.6447307,50.9883147
Haacht Wildeheidestraat,4.6429722,50.9826387
Haacht Wildeheidestraat,4.643233,50.9826844
Haacht Betonfabriek,4.652104,50.9733597
Haacht Betonfabriek,4.6521198,50.9734498
Tildonk Wakkerzeel Hooghof,4.6650448,50.9616383
Tildonk Wakkerzeel Kelfsstraat,4.6760333,50.9523876
Tildonk Wakkerzeel Kelfsstraat,4.6763169,50.9522429
Tildonk Wakkerzeel Kesterveldstraat,4.6794006,50.9480746
Tildonk Wakkerzeel Wilgenstraat,4.6817525,50.944825
Tildonk Wakkerzeel Wilgenstraat,4.6819277,50.9447411
Tildonk Wakkerzeel Putbos,4.6820467,50.9420453
Tildonk Wakkerzeel Putbos,4.6823801,50.9417168
Wijgmaal Oude Baan,4.6875695,50.9355405
Wijgmaal Oude Baan,4.6878846,50.9353218
Wijgmaal Vaartbrug,4.6935496,50.9237522
Wijgmaal Remytoren,4.7003222,50.9211195
Wijgmaal Remytoren,4.7003194,50.9211928
Leuven Dijledreef,4.70687,50.8936
Leuven Vaartvest,4.7067412,50.8886148
Tildonk Wakkerzeel Spieke,4.6738541,50.9561341
Tildonk Wakkerzeel Hooghof,4.6652059,50.9616619
Haacht Scharent,4.659808,50.9727142
Keerbergen Koekoekdreef,4.6467819,50.998034
